movie_id,genres,movie_title,original_language,overview,popularity,release_date,runtime
the-stranger-2014,Not Available,The Stranger,en,"A supernatural thriller, laced by flashbacks, and set in Canada’s North-West, “The Stranger” turns on the mysterious titular figure of Martin, who comes to a small quiet town seeking to kill his wife Ana who suffers from a very dangerous decease that makes her addicted to human blood - just like himself-. However, when he arrives to the town, he discovers that Ana has been dead for a couple of years and decides to commit suicide to definitely eradicate this dangerous decease, but, before he can do it, Martin's brutally attacked by three local thugs led by Caleb, the son of a corrupt police lieutenant, and the incident suddenly starts a snowball that will plunge the community into a bloodbath.",4.42,12/6/14,93
the-stranger-on-the-bridge,Not Available,The Stranger on the Bridge,en,The documentary follows 26 year old Jonny Benjamin as he tries to find the man who dissuaded him from taking his own life by jumping from Waterloo Bridge in London in 2008.,0.6,4/5/15,47
the-strangers,Not Available,The Strangers,en,"After returning from a wedding reception, a couple staying in an isolated vacation house receive a knock on the door in the mid-hours of the night. What ensues is a violent invasion by three strangers, their faces hidden behind masks. The couple find themselves in a violent struggle, in which they go beyond what either of them thought capable in order to survive.",26.323,29-05-2008,86
the-strangers-prey-at-night,Not Available,The Strangers: Prey at Night,en,"A family’s road trip takes a dangerous turn when they arrive at a secluded mobile home park to stay with some relatives and find it mysteriously deserted. Under the cover of darkness, three masked killers pay them a visit to test the family’s every limit as they struggle to survive.",17.062,7/3/18,85
the-stranglers-rattus-at-the-roundhouse,Not Available,The Stranglers - Rattus at the Roundhouse,en,"On 4th November 2007, thirty years to the exact day since their last visit, The Stranglers made a triumphant return to The Roundhouse in London. To commemorate this anniversary, the set list was based on the original 'Heroes' Tour of 1977, showcasing material from their debut album Rattus Norvegicus and it's follow up No More Heroes. Featuring the classic four-piece format, with bassist Jean-Jacques Burnel sharing lead vocals with guitarist Baz Warne, the distinctive keyboard sounds of Dave Greenfield and the awesome percussion skills of Jet Black.",0.913,4/11/07,72
the-strawberry-shortcake-movie-skys-the-limit,Not Available,The Strawberry Shortcake Movie: Sky's the Limit,en,A sudden storm leaves Berry Bitty City with a gigantic problem. Strawberry Shortcake and her friends will have to move their whole tiny town unless they find a way to safely remove a huge boulder that threatens everything they hold dear.,2.67,15-09-2009,69
the-strawberry-tree,Not Available,The Strawberry Tree,es,"Less than a month after Simone Rapisarda Casanova completed shooting in Juan Antonio, a village on Cuba’s North Eastern coast, the place was wiped out by a hurricane. Thus El árbol de las fresas begins with four of the now displaced former inhabitants reminiscing about their home and what they have lost. Eschewing drama and pathos, the opening sets the tone for what is an unusual documentary; the subjects often address the camera directly and even tease the filmmaker. In doing so they disrupt the usual relationship between viewer and subject in a playful way that allows both the viewer and the viewed to share equally in the filmmaking process.",0.624,7/8/11,71
the-stray-2017,Not Available,The Stray,en,"A young father takes his nine year old son, the family dog, and two of his son's friends backpacking in the mountains of Colorado only for all five of them to be struck by lightning.",6.099,6/10/17,92
the-streak,Not Available,The Streak,en,"The story of Florida's Brandon High School's wrestling program, which holds the longest winning streak in American sports history with a perfect record of 451-0 record spanning 34 years.",0.902,29-04-2008,95
the-stream-2013,Not Available,The Stream,en,"A long time ago... in the summer of 1981, a tragedy of epic proportions (a broken plastic bat) sends five friends on an epic adventure to the mall. All they have to do is follow The Stream and back.",2.098,16-10-2013,82
the-streets-run-red,Not Available,The Streets Run Red,en,"An aging detective and his hotheaded partner tirelessly pursue a serial killer who is right under their nose in this gruesome, deplorable, disgusting new feature film from Ungovernable Films!  Ungovernable Films has set out this time to raise the bar on gore, obscenity, offensiveness, and nauseating FX in this feature film about a serial killer pursued by two dedicated cops. When the killer falls right into their laps without them realizing it, fact and fiction begin to blur for the three men whose senses of identity seem less and less certain.",1.741,4/8/17,87
the-stressful-adventures-of-boxhead-roundhead,Not Available,The Stressful Adventures of Boxhead & Roundhead,en,"After their home is destroyed, Boxhead &amp; Roundhead must head to the big city to battle red tape, rent, rats and the rat race to get it back. Art and industry, friendship and foul play are all in the mix in this, the first feature length Boxhead &amp; Roundhead stressful adventure.",0.6,3/10/14,77
the-strike-2016,Comedy Crime Drama,The Strike,en,"When a trio of struggling and increasingly desperate thirty-something actors - Alberto, Molly and Richard -  discover that A-list talent agent Carlo Lombardi is taking classes at the yoga studio where Molly teaches, they concoct the perfect scheme to convince him of their talent: Lay siege to the yoga studio, tie Carlo up, and with a gun to his head give the performance of their lives. A perfect plan! Now what could go wrong?",0.928,14-04-2016,90
film:652888,Not Available,The Strings,en,"In the dead of winter, a musician travels to a remote cottage to work on new material, but soon finds herself under attack from a mysterious dark presence.",2.792,1/10/20,94
the-stroker,Not Available,The Stroker,en,"The Stroker refers to the nickname Pilvi Takala received during her two week intervention at Second Home, a trendy co-working space in East London. She went around lightly touching people as part of a cutting-edge well-being programme. The nuances of movements and looks demonstrate how people negotiate 'acceptable behaviour' in the workspace.",0.6,4/10/19,15
the-strong-ones,Drama Romance,The Strong Ones,es,"Lucas travels to visit his sister to a remote town in southern Chile. In front of the ocean and the fog, he meets Antonio, a boatswain in a local fishing boat. When an intense romance grows between them, their strength, their independence and their adulthood become immovable in front of the tide.",2.564,8/10/19,98
the-struggle-1913,Not Available,The Struggle,en,"In The Struggle (Broncho, 1913) a prospector and his son Bob depart from home in the morning, while the wife, at home, offers food to a passing stranger. His shifting eyes reveal his nature; he assaults her, and although her husband and son return in time to save her, the father is killed in the ensuing fight. The stranger gets away, but five years later Bob, now a government scout, recognizes the stranger just as he is accused of cheating at cards.",0.6,20-01-2013,24
the-student-body-2016,Not Available,The Student Body,en,"When a brave high school student takes a stand against state-mandated BMI tests of her peers, she finds herself in the middle of a heated national controversy, sparking a battle of wills between herself and government officials.",2.707,1/8/16,85
the-sturgeon-queens,Documentary,The Sturgeon Queens,en,"Four generations of a Jewish immigrant family create Russ and Daughters, a Lower East Side lox and herring emporium that survives and thrives. Produced to coincide with the 100th anniversary of the store, this documentary features an extensive interview with two of the original daughters for whom the store was named, now 100 and 92 years old, and interviews with prominent enthusiasts of the store including Supreme Court Justice Ruth Bader Ginsburg, actress Maggie Gyllenhaal, chef Mario Batali, New Yorker writer Calvin Trillin, and 60 Minutes correspondent Morley Safer. Rather than a conventional narrator, the filmmakers bring together six colorful longtime fans of the store, in their 80s and 90s, who sit around a table of fish reading the script in the style of a passover Seder.  - Written by Julie Cohen",0.625,20-01-2014,53
the-stylist-2020,Not Available,The Stylist,en,"Claire is a lonely hairstylist who secretly murders and scalps her clients. When Olivia makes the well-intentioned mistake of asking Claire to style her hair for her wedding, she becomes dangerously obsessed, and her sanity starts to slip away with bloody consequences.",5.732,26-09-2020,105
the-submarine-kid,Not Available,The Submarine Kid,en,"When Spencer Koll, a United States Marine, returns home from a horrific wartime experience, his mundane reality leads him to gravitate towards a new and mysterious woman on her own determined journey. Together, they enter into a magical but destructive new relationship which ultimately exposes their essential truths.",3.489,12/1/16,109
the-subterranean-stadium,Not Available,The Subterranean Stadium,en,Errol Morris takes us to a long-running basement electric football league.,0.6,1/3/15,22
