movie_id,vote_average,vote_count
the-trump-prophecy,4,7
submission-2019,6.8,18
the-exhibitionists,3,3
conspiracy-encounters,2.7,3
dangerous-days-making-blade-runner,7.8,52
what-still-remains,5.2,32
cottonmouth-2015,0,0
harlequin-2013,4.7,3
zoe-2016,0,0
hal-2018,6.3,4
miss-hokusai,6.9,91
my-baby-is-missing,5.7,8
el-hombre-perfecto,5,3
superman-batman-public-enemies,7,452
everymans-war,5.3,17
thankskilling,4,65
we-die-young,6.9,207
bears-spy-in-the-woods,10,1
gerontophobia,4,1
birders-the-central-park-effect,8,7
no-ordinary-hero-the-superdeafy-movie,5.5,2
david-bowie-under-review-1976-79,7.5,2
fast-film,6.6,27
california-scheming,3.5,13
unlocking-sherlock,7.9,43
the-belfry,0,0
book-of-lore,0,0
metal-man,2.3,14
everybodys-fine-2009,6.7,739
confine,5.2,6
bratz-good-vibes,7.5,4
anthony-clark-ambiguous,0,0
strange-culture,5.1,7
40-years-of-star-trek,10,1
burning-kiss,5,5
el-tamano-si-importa,5.8,43
x-rated-ambition-the-traci-lords-story,4.9,9
exodus-2008-1,0,0
the-final-exit-of-the-disciples-of-ascensia,9.2,5
the-last-day-of-summer,5.4,13
the-rhythm-of-my-life-ismael-sankara,1,1
the-summer-of-flying-fish,4.8,6
the-many-faces-of-ito-the-movie,6,5
battle-of-los-angeles,3.6,90
the-killers-live-from-the-royal-albert-hall,7.3,6
holiday-road-trip,5.4,12
boys-village,6.6,7
dark-fields,3.6,9
the-17th-annual-animation-show-of-shows,7,1
nine,5.6,458
the-tempest-2010,8.3,3
cannibal-corpse-eats-moscow-alive,0,0
obam-nude,1,1
the-watcher-in-the-woods-2017,4.5,25
the-black-forest,6,2
the-dealer-plate,0,0
trolls,6.7,2893
fugue,6,1
expiration-2012,5.1,11
sun-and-shadow,0,0
vanished-2011,5.2,6
the-mayo-clinic-faith-hope-and-science,8.3,4
the-ugly-doll,0,0
category-7-the-end-of-the-world,6.1,45
youth-disillusions-and-yearnings-of-hernan-cortes-delgado,5.4,5
tits,5.7,3
them-that-work,0,0
her-last-will,7.3,6
banshee-2014,6,1
the-definites,0,0
a-dream-of-flying,8.3,3
maktub,7.4,34
meaghamann,7.2,8
dreams-2008,0,0
chvrches-live-at-lollapalooza,0,0
the-magnificent-eleven,3.3,4
white-collar-hooligan-3,5,12
muscle-2016,6,1
wood-job,7.3,39
dragon-eyes,5,108
straight-outta-compton,7.8,2978
extraordinary-people-the-boy-with-the-incredible-brain,6,2
cubs,0,0
national-theatre-live-les-liaisons-dangereuses,10,2
hikiko-san-vs-kokkuri-san,0,0
my-spy-2020,7,845
the-lords-of-salem,5.4,648
xxx-return-of-xander-cage,5.8,4946
the-big-four-live-in-sofia,8.6,57
murder-in-soho-who-killed-freddie-mills,0,0
bring-it-on-in-it-to-win-it,6.5,416
the-money-complex,0,0
mark-of-the-beast-the-legacy-of-the-universal-werewolf,0,0
the-departure-2017,6.3,8
sugarcubes-live-zabor,0,0
cold-heart-canyon,4.3,4
the-booksellers,6.9,19
off-the-menu,6,27
thor-tales-of-asgard,6.4,123
no-greater-love,7.2,6
stitch-the-movie,6.5,531
watch-over-us,4,2
odd-squad-the-movie,5.1,9
the-mechanik,5.4,43
the-mole-man-of-belmont-avenue,4.7,7
nazihas-spring,0,0
zucchini-cake,0,0
no-panic-with-a-hint-of-hysteria,9,1
the-phantom-of-the-opera-2004,7.3,1257
the-mayor-2017,6.6,25
the-locals,5.9,34
harry-hill-in-hooves,9,2
eating-women,7.5,4
birthright-2010,7.5,4
teenage-bank-heist,5.8,18
freeze-frame,6.5,39
victoria-2020,0,0
36-steps,5.6,10
mourning-wood,0,0
white-night-2009,8,1
meatball-machine-kodoku,6.3,16
we-the-marines,5.8,16
imprisoned-2019,5.1,4
dark-web,4.5,13
the-woman-suffers,7,2
bumping-into-broadway,7,23
the-package-2018,6,908
the-shallows,6.4,4238
unmatched,5.1,5
himalaya-where-the-wind-dwells,7.4,7
vanished-1,2,1
flashback-legion,0,0
the-fields,4.2,20
wolverine-and-the-x-men-fate-of-the-future,6.6,5
booksmart,7.1,1890
willow-creek,4.9,220
no-mas,7.1,8
mansion-of-the-doomed-the-making-of-scared-stiff,0,0
ghost-stories-2013,0,0
the-astronaut-farmer,6.3,251
truth-2015-1,4.1,8
grandmothers-gold,5,4
a-fine-line,0,0
palimpsest-2013,5.5,2
a-christmas-tree-grows-in-colorado,5.7,7
everything-about-her,8.1,8
flight-93,6.7,136
whisky,6.8,55
nelly-furtado-loose-the-concert,7,1
dream-street,6.3,3
the-a-list,5.6,10
griff-the-invisible,5.7,62
and-i-will-rise-if-only-to-hold-you-down,5,1
blue-hour,7.2,5
vaulted-films-from-the-yellow-ape-vault,0,0
bad-sister-2016,6.7,152
giovannis-island,7.5,70
going-to-america,6.5,2
buying-sex,6.8,5
pannaiyarum-padminiyum,7.3,12
the-trail-to-hope-rose,5,3
the-new-twenty,5.5,15
ghosts-of-darkness,5.8,21
the-guardian-2017,8,1
comrade,6,2
atm,5,435
white-darkness-2017,0,0
fallet,2.5,2
the-toll-gate,5.2,6
night-at-the-museum-battle-of-the-smithsonian,6.1,5601
pale-cocoon,6.5,42
mandela-long-walk-to-freedom,6.9,431
nagasaki-memories-of-my-son,6.6,9
the-people-of-the-kattawapiskak-river,0,0
cooped-up,7.3,3
the-corporation,7.8,197
the-casserole-club,5.5,2
moist-fury,6,1
nick-cave-the-bad-seeds-bbc-four-sessions,8,1
the-rabbit-hunters,0,0
naomi-and-elys-no-kiss-list,5.9,999
house-of-the-rising-sun,4.6,40
ganz-how-i-lost-my-beetle,8,1
22-weeks,5.5,2
thanxgiving,2,1
mark-trade,0,0
everyday-people,6.8,10
moving-so-slowly,0,0
hippocampus-m-21th,7.3,2
edwin-parker,0,0
the-flowers-of-evil,6.7,17
the-black-candle-2008,5.8,2
antisocial-2,5.5,26
family-in-transition,8,1
an-audience-of-chairs,6.1,8
the-outsider-the-cinema-of-antonio-margheriti,6,1
a-fire-in-my-brain-that-separates-us,0,0
chris-fleming-showpig,0,0
negra,0,0
the-kingdom-2007,6.7,1221
when-magic-goes-horribly-wrong,0,0
within-temptation-live-at-rock-am-ring,0,0
una-preciosa-puesta-de-sol,0,0
body-of-sin,4.5,6
eurotrip,6.5,1874
a-farewell-to-hemingway,7.3,2
female-ejaculation-other-mysteries-of-the-universe,0,0
wrinkles-the-clown,5.9,36
frat-pack,4.8,16
the-man-nobody-knew-in-search-of-my-father-cia-spymaster-william-colby,6.4,11
broken-contract,7.7,3
fear-of-fanny,7.3,6
for-no-eyes-only,3,2
toe-to-toe,3.2,8
chronicle-of-a-blood-merchant,7.2,22
104-wrinkles,6,2
this-is-the-paradigm-of-the-worst-possible-film,0,0
atari-game-over,6.6,175
carnal-cravings,7,2
steel-rain-2-summit,7.6,37
trapped-2012,5.8,2
tokyo-ghoul-s,6.9,50
crossing-arizona,8,1
nightmare-detective,5.8,47
the-chunta,0,0
straight-curve-redefining-body-image,7,1
the-magic-gloves,6.6,10
the-maze,4.6,18
next-year-in-jerusalem,5.5,2
marcel-ophuls-et-jean-luc-godard-la-rencontre-de-st-gervais,0,0
angel-2005-1,6.9,7
he-did-and-he-didnt,6.2,7
frontman,3,1
fireball-visitors-from-darker-worlds,6.4,40
magic-magic,5.2,155
tiznao,7.3,3
nightmare-at-the-end-of-the-hall,5.6,11
o-rabequeiro-maneta-e-a-furia-da-natureza,0,0
mother-2020-2,1,1
29-and-holding,0,0
the-coven,2.5,4
5-seconds-of-summer-how-did-we-end-up-here,8.2,13
trigger-man,4.3,14
west-of-the-jordan-river,5.6,5
happy-ever-afters,5.6,14
burning-cane,5.8,9
welcome-home-2015,6,7
the-hate-u-give,8.3,1648
we-dont-need-a-map,6.7,3
loving-a-vegetable,0,0
hesperia,0,0
bordering-on-bad-behavior,5.9,9
hall-2020,4.3,4
tierra-de-pasiones-2006,5.5,2
murder-take-one,6.4,25
things-to-do,6,4
goodbye-solo,6.8,55
married-and-counting,7.3,4
open-house,4.9,31
hayride,4.2,20
the-strong-ones,8.3,35
the-rohl-farms-haunting-2013,3,3
dark-legacy,5.2,5
wishbaby,6,1
mcenroe-borg-fire-ice,6.3,5
1959-the-year-that-changed-jazz,0,0
gasolina,6.4,7
miyoris-forest,7.1,22
drift-2,5,1
the-lost-arcade,7.4,7
fronteras-2018,7,2
bratz-rock-n-princess,0,0
north-v-south,5.8,6
framing-agnes,0,0
the-pearl-2016,5,4
the-visit-an-alien-encounter,6,19
complicated-women,6.7,9
tabernacle-101,2.2,5
a-conspiracy-of-lies-flight-370-to-911,0,0
the-bottom-of-the-sea,6.8,11
this-is-not-a-movie-2019,6,1
heebie-jeebies,4.6,10
claire-in-motion,4.9,17
on-hold,7,2
obituary-frozen-alive,0,0
machined-reborn,3.1,9
bubble-guppies-sunny-days,0,0
zen,6.6,20
my-name-is-pedro,10,1
apollo-18,5.3,755
116-cameras,6,2
merry-madagascar,6.4,198
tempestade,0,0
57-lawson,0,0
wrapped-up-in-christmas,6.6,21
the-goldberg-variations,4.3,2
the-house-with-a-clock-in-its-walls,6.3,1690
barbie-the-pearl-princess,7,235
feast-of-the-epiphany,4,1
the-rainbow-bridge-motel,4.3,4
dark-desire,4.6,8
the-parting-glass-2018,5.7,10
awaiting-2014,7.7,3
crossroads-2018,7.7,3
bunch-of-kunst,6.9,7
film-noir,5.9,25
astronaut-the-last-push,5.4,49
war-book,5.3,13
guilty-by-association,2.9,18
faith-under-fire-2020,5.5,2
carpool-karaoke-primetime-special-2017,8.5,2
