movie_id,rating_val,user_id
anna-and-the-apocalypse,3,ashonfilm
anna-and-the-apocalypse,6,qjtbailey
anna-and-the-apocalypse,5,kynky
anna-and-the-apocalypse,6,codypphoto
anna-and-the-apocalypse,6,ajblack
anna-and-the-apocalypse,5,romankirby
anna-and-the-apocalypse,4,marooncrimson
anna-and-the-apocalypse,6,filmfreek25
anna-and-the-apocalypse,3,christianalec94
anna-and-the-apocalypse,7,mirishikiari
anna-and-the-apocalypse,4,stevenmillan
anna-and-the-apocalypse,8,axxstin
anna-and-the-apocalypse,8,brakywaki
anna-and-the-apocalypse,4,reviewsbybrooks
anna-and-the-apocalypse,6,riotglasses
anna-and-the-apocalypse,7,jhillman
anna-and-the-apocalypse,7,ginnyweasley
anna-and-the-apocalypse,6,zachpopereviews
anna-and-the-apocalypse,6,slig001
anna-and-the-apocalypse,7,zombaid
anna-and-the-apocalypse,10,maxthemoviegirl
anna-and-the-apocalypse,6,dustin_b
anna-and-the-apocalypse,7,kevin_matthews
anna-and-the-apocalypse,3,brandonh
anna-and-the-apocalypse,9,kylezeman33
anna-and-the-apocalypse,6,jewbo23
anna-and-the-apocalypse,4,suspirianknight
anna-and-the-apocalypse,5,tobe_whooper
anna-and-the-apocalypse,7,domxrm
anna-and-the-apocalypse,5,danboyle86
anna-and-the-apocalypse,7,frankenlotter
anna-and-the-apocalypse,7,onno
anna-and-the-apocalypse,5,babydriverreal
anna-and-the-apocalypse,8,comedyhipster
anna-and-the-apocalypse,6,mrjago
anna-and-the-apocalypse,5,tommysyk
anna-and-the-apocalypse,7,willpoulter
anna-and-the-apocalypse,6,thatmoviefreak
anna-and-the-apocalypse,7,invincibleasia
anna-and-the-apocalypse,4,ziggystorstrand
anna-and-the-apocalypse,7,zaragwen
anna-and-the-apocalypse,8,fakerobhunter
anna-born-to-lead,5,ashonfilm
anna-christie-1923,6,lencho_o_t_apes
anna-nicole-2013,6,nevermore1985
anna-nicole-2013,8,theblogosfear
anna-nicole-2013,8,scumbalina
anna-nicole-2013,9,jennyslate
anna-nicole-2013,3,shanderson88
anna-nicole-2013,5,rotch
anna-nicole-2013,5,alexroy656
anna-nicole-2013,2,caleb_yells
anna-nicole-2013,2,grabmymask
anna-scream-queen-killer,1,ucrazyutaraptor
annabelle-hooper-and-the-ghosts-of-nantucket,5,chavrosbaby
annabellum-the-curse-of-salem,3,dustin_b
annapolis,4,lastcooldude
annapolis,4,realdaveimboden
annapolis,4,maskull
annapolis,6,rexrobben
annapolis,1,waltz3
annapolis,6,kevincormier
annapolis,6,andylevy
annapolis,3,comedyhipster
anne-frank-then-and-now,6,kenru
anni-albers-a-life-in-thread,6,man_out_of_time
annie-claus-is-coming-to-town,4,sharktale
annie-claus-is-coming-to-town,6,cosmobrown
annies-point,4,sharktale
anohana-the-flower-we-saw-that-day-the-movie,9,yijian
anonymous-killers,5,dustin_b
another,6,thatsantiagoguy
another,6,codypphoto
another-day-of-life,6,timbrayton
another-day-of-life,8,maxthemoviegirl
another-day-of-life,8,olevar
another-day-of-life,8,gubarenko
another-day-of-life,4,baronronan
another-day-of-life,6,ziggystorstrand
another-egg-and-chicken-movie,6,mardsego
another-evil,7,mr_dulac
another-evil,6,oh_dae_su
another-evil,6,auteur
another-evil,7,waldo
another-evil,8,hail_freyr
another-evil,8,kiko
another-evil,5,kynky
another-evil,6,patrickripoll
another-evil,7,andylevy
another-evil,3,kevin_matthews
another-evil,7,ji_doctor
another-evil,6,fakerobhunter
another-gay-movie,10,avadavis
another-gay-movie,1,maudettehornsby
another-gay-movie,2,mattybsaps
another-gay-movie,6,murdermystery
another-gay-movie,5,christianalec94
another-gay-movie,8,axxstin
another-gay-sequel-gays-gone-wild,6,murdermystery
another-gay-sequel-gays-gone-wild,4,christianalec94
another-kind-of-wedding,8,axxstin
another-movie,7,feuilladist
another-news-story,6,ianamurray
another-story-of-the-world,4,kenru
another-world-song-of-the-earth-part-2,10,mikestuhlman
another-year,8,silentdawn
another-year,8,franhoepfner
another-year,8,elcochran90
another-year,9,catelyn
another-year,4,jvince
another-year,6,willas
another-year,10,subsahaaron
another-year,9,kristenyoonsoo
another-year,9,juliendonkeyboi
another-year,10,cameronkanachki
another-year,8,colintroy
another-year,9,varghese_no1
another-year,8,lise
another-year,8,ryangosling
another-year,10,stautis
another-year,9,ladyspiggott
another-year,8,perksofbeingnat
another-year,8,brianformo
another-year,10,rodstar
another-year,9,justwannaboogie
another-year,9,lesaladino
another-year,8,jason_alley
another-year,10,ridleysthot
another-year,10,moviefan999
another-year,7,jc13
another-year,9,anhonestmess
another-year,8,minick
another-year,6,enteredthevoid
another-year,7,harlequinade
another-year,7,aleph_null
another-year,7,realhenryb
another-year,9,patrickripoll
another-year,9,hayal12
another-year,9,kurdt
another-year,10,themyrka
another-year,8,benmatthewempey
another-year,9,j_overstreet
another-year,7,jacdeswilliams
another-year,8,scalytugboat
another-year,8,kevin_matthews
another-year,8,pstalbot
another-year,9,kamilleroboter
another-year,9,ruth
another-year,10,cosmobrown
another-year,8,nowhere1997
another-year,9,moviemaxwell
another-year,7,rti03
another-year,7,xebeche
another-year,9,obligatory
antarctica-2008,4,fluffymoon
antarctica-a-year-on-ice,9,bobhoveyga
antarctica-a-year-on-ice,8,mrjago
antarctica-a-year-on-ice,10,kenru
anthony-jeselnik-caligula,8,adrianbalboa
anthony-jeselnik-caligula,7,brendanmichaels
anthony-jeselnik-caligula,7,bilboballin
anthropoid,5,davidehrlich
anthropoid,7,colonelmortimer
anthropoid,9,childrenofmen
anthropoid,6,gemko
anthropoid,5,russman
anthropoid,8,enniomorricone
anthropoid,8,zoltarak
anthropoid,7,ddarko42
anthropoid,9,oliviawildehawt
anthropoid,6,niceguys
anthropoid,6,jaimerebanal
anthropoid,6,mariamicia13
anthropoid,5,briantt
anthropoid,5,michaelhaneke
anthropoid,6,adashelby
anthropoid,8,jacksonmaines
anthropoid,4,elementarii
anthropoid,5,thehandmaiden
anthropoid,7,mildredsfierce
anthropoid,4,sonnywortzik
anthropoid,7,cevangelista413
anthropoid,4,ryangosling
anthropoid,7,kano
anthropoid,7,aboutlalalala
anthropoid,7,moviemaestro
anthropoid,5,aaronh
anthropoid,8,farriercollins
anthropoid,7,gdw
anthropoid,8,waldo
anthropoid,7,cogerson
anthropoid,6,eclectic_em
anthropoid,7,balanders
anthropoid,6,minick
anthropoid,6,bartonfinked
anthropoid,4,trey_northcutt
anthropoid,6,kjones77
anthropoid,8,theccritic
anthropoid,7,coles84
anthropoid,7,themediadiorama
anthropoid,8,doinkdedoink
anthropoid,8,liamviii
anthropoid,6,cathalbyron
anthropoid,8,steph_h
anthropoid,9,tburnham
anthropoid,6,zombaid
anthropoid,6,bilboballin
anthropoid,9,finchet
anthropoid,7,scottrenshaw
anthropoid,9,reysdimple
anthropoid,7,comedyhipster
anthropoid,7,marktinta73
anthropoid,6,kenru
anti-gas-skin,7,filipe_furtado
antibirth,5,deathproof
antibirth,7,silentdawn
antibirth,3,colonelmortimer
antibirth,7,holliehorror
antibirth,6,bratpitt
antibirth,6,mr_dulac
antibirth,2,avadavis
antibirth,7,pd187
antibirth,6,reygf
antibirth,4,theblogosfear
antibirth,6,jaimerebanal
antibirth,2,briantt
antibirth,6,ucrazyutaraptor
antibirth,4,jennyslate
antibirth,5,worsethan
antibirth,5,oh_dae_su
antibirth,5,leschroeck
antibirth,8,smogo
antibirth,4,bbeksinski
antibirth,5,cherprayers
antibirth,7,tentaclatron
antibirth,6,enteredthevoid
antibirth,9,rotch
antibirth,5,hail_freyr
antibirth,6,hooded_justice
antibirth,4,gainsbourg
antibirth,6,toombstoned
antibirth,6,filmfreek25
antibirth,8,liamviii
antibirth,2,grabmymask
antibirth,5,mikestuhlman
antibirth,4,thisisalexei
antibirth,4,dirtoddhaynes
antibirth,4,morgendorffer
antibirth,9,brakywaki
antibirth,2,rickd
antibirth,4,brandonh
antibirth,7,olevar
antibirth,4,jewbo23
antibirth,4,senswinthecup
antibirth,7,yckmd_
antibirth,3,marktinta73
antibirth,5,nowhere1997
antibirth,1,feuilladist
antibirth,4,charliemorris
anticipation-2016,10,josiahmorgan11
antiporno,7,silentdawn
antiporno,8,darrencb
antiporno,8,andredenervaux
antiporno,5,allisoncm
antiporno,9,truman
antiporno,5,jaimerebanal
antiporno,8,juliendonkeyboi
antiporno,10,michaelhaneke
antiporno,5,nomadland
antiporno,10,thatsantiagoguy
antiporno,8,haybatman
antiporno,8,schlockvalue
antiporno,8,jennyslate
antiporno,8,londono
antiporno,7,patrickpryor
antiporno,6,leschroeck
antiporno,10,jimmyvon789
antiporno,7,kano
antiporno,8,flaska11
antiporno,9,blackphillips
antiporno,5,smogo
antiporno,9,phantasmes
antiporno,6,coffeevirus
antiporno,8,cwbradley
antiporno,10,haydenwelch
antiporno,8,hibiscus
antiporno,8,gdw
antiporno,9,faithlessphil
antiporno,6,jameshealey
antiporno,8,capitao134
antiporno,5,taz
antiporno,4,mundof
antiporno,10,kaliofthedolls
antiporno,6,enteredthevoid
antiporno,8,hail_freyr
antiporno,9,eric_peartree
antiporno,10,theccritic
antiporno,6,daveyjenkins
antiporno,8,edoardocan
antiporno,10,codypphoto
antiporno,9,yeetismurder
antiporno,7,reibureibu
antiporno,7,romankirby
antiporno,3,salinui
antiporno,8,doinkdedoink
antiporno,9,luca2020
antiporno,7,beniciodeltoro
antiporno,6,elnapalmo
antiporno,6,mirishikiari
antiporno,6,remote
antiporno,2,scrumblebunny
antiporno,6,reesepd
antiporno,5,collin_clark
antiporno,10,jhillman
antiporno,9,riley_danson
antiporno,10,louferrigno
antiporno,8,zombaid
antiporno,7,notnatportman
